Speaker	Truth-Rating	Statement	PolitiFact explanations	URL
John McCain	0	Obama voted to support President Bush between 40 and 50 percent of the time over the past two years.	Obama and Bush found common ground	/truth-o-meter/statements/2008/jun/04/john-mccain/obama-and-bush-found-common-ground/
John McCain	0	Sen. Obama has been to Iraq once.	McCain leads in Iraq trips 8-1	/truth-o-meter/statements/2008/may/29/john-mccain/mccain-leads-in-iraq-trips-8-1/
John McCain	0	Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions.	He has said it again and again	/truth-o-meter/statements/2008/may/21/john-mccain/he-has-said-it-again-and-again/
John McCain	0	One man sacrificed for his country. One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth. One man stands up to the special interests.	One man found his winning message	/truth-o-meter/statements/2008/feb/07/john-mccain/one-man-found-his-winning-message/
John McCain	0	The fact is it's not amnesty.	And it's no free ride	/truth-o-meter/statements/2008/jan/15/john-mccain/and-its-no-free-ride/
John McCain	0	He was a member of the Iraq Study Group and was either fired or quit from a very important commission that was trying to figure out the way forward in Iraq.	This attack is spot-on	/truth-o-meter/statements/2007/dec/04/john-mccain/this-attack-is-spot-on/
John McCain	0	I saved the taxpayers $2-billion on a bogus Air Force Boeing tanker deal where people went to jail.	He uncovered a wasteful mess	/truth-o-meter/statements/2007/nov/29/john-mccain/he-uncovered-a-wasteful-mess/
John McCain	0	Senator Clinton tried to spend $1 million on the Woodstock Concert Museum.	Yes, Clinton played lead for Woodstock museum	/truth-o-meter/statements/2007/oct/19/john-mccain/yes-clinton-played-lead-for-woodstock-museum/
John McCain	0	We spent approximately $20-billion of that money on pork barrel, earmark projects. Maybe if we had done it right, maybe some of that money would have gone to inspect those bridges and other bridges across the country.	Right on bridge repairs	/truth-o-meter/statements/2007/oct/12/john-mccain/right-on-bridge-repairs/
John McCain	0	One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth.	He told you so! 	/truth-o-meter/statements/2007/oct/02/john-mccain/he-told-you-so-/
John McCain	1	(Obama's) entire national security team, including his secretary of state, said we want to arm and train and equip (Syrian rebel forces), and he made the unilateral decision to turn them down.	Some big names were for it	/truth-o-meter/statements/2014/sep/11/john-mccain/john-mccain-says-barack-obama-went-against-nationa/
John McCain	1	Obama said he would unilaterally renegotiate the North American Free Trade Agreement.	Obama's been critical of NAFTA	/truth-o-meter/statements/2008/oct/15/john-mccain/obamas-been-critical-of-nafta/
John McCain	1	He has asked for $932-million of earmark pork-barrel spending, nearly a million dollars for every day that hes been in the United States Senate.	McCain right on amount of Obama's pork requests	/truth-o-meter/statements/2008/sep/26/john-mccain/mccain-right-on-amount-of-obamas-pork-requests/
John McCain	1	You know, we spent $3-million to study the DNA of bears in Montana.	Bear study funding actually undersold	/truth-o-meter/statements/2008/sep/26/john-mccain/bear-study-funding-actually-undersold/
John McCain	1	Obama has asked for $932-million in earmarks, literally $1-million for every day that hes been in Congress.	McCain's got Obama over a pork barrel	/truth-o-meter/statements/2008/sep/16/john-mccain/mccains-got-obama-over-a-pork-barrel/
John McCain	1	We spent $3-million of your money to study the DNA of bears.	McCain's bear story is no bull	/truth-o-meter/statements/2008/aug/25/john-mccain/mccains-bear-story-is-no-bull/
John McCain	1	It (Georgia) was one of the earliest Christian nations. The king of then-Georgia in the third century converted to Christianity.	McCain hits the mark on Georgian history, more or less	/truth-o-meter/statements/2008/aug/19/john-mccain/mccain-hits-the-mark-on-georgian-history-more-or-l/
John McCain	1	Obama never held a single Senate hearing on Afghanistan.	The campaign trail leaves little time for hearings 	/truth-o-meter/statements/2008/jul/21/john-mccain/the-campaign-trail-leaves-little-time-for-hearings/
John McCain	1	I investigated Abramoff and people ended up in jail.	Raised awareness, but doesn't get sole credit	/truth-o-meter/statements/2008/jul/15/john-mccain/raised-awareness-but-doesnt-get-sole-credit/
John McCain	1	I've always said it's (offshore drilling) up to the states and I still say that.	McCain's change in posture, not position	/truth-o-meter/statements/2008/jun/26/john-mccain/mccains-change-in-posture-not-position/
John McCain	1	George Bush, and a Republican Congress, have presided over a 55 percent increase in the size of domestic government spending in the last seven years.	Right on the number, just a year off	/truth-o-meter/statements/2008/jun/18/john-mccain/right-on-the-number-just-a-year-off/
John McCain	1	Obama himself voted against funding our nation's veterans and troops in the field during a time of war.	In protest, Obama voted against	/truth-o-meter/statements/2008/may/19/john-mccain/in-protest-obama-voted-against/
John McCain	1	It is just a fact that Hamas, apparently the North American spokesperson, is endorsing Senator Obama.	Praise, but not a formal endorsement	/truth-o-meter/statements/2008/may/09/john-mccain/praise-but-not-a-formal-endorsement/
John McCain	1	My friend, we have increased the size of government by some 40 percent just in the last few years.	His percentage is right; his amount is not	/truth-o-meter/statements/2008/may/07/john-mccain/his-percentage-is-right-his-amount-is-not/
John McCain	1	I committed to public financing; (Obama) committed to public financing.	McCain says "accept;" Obama says "pursue"	/truth-o-meter/statements/2008/mar/03/john-mccain/mccain-says-accept-obama-says-pursue/
John McCain	1	In her short time in the United States Senate, the senator from New York, Senator Clinton, got $500-million worth of pork barrel projects.	Clinton brought home even more bacon 	/truth-o-meter/statements/2008/feb/04/john-mccain/clinton-brought-home-even-more-bacon-/
John McCain	1	He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.	Pretty much yes, but it's not 'special'	/truth-o-meter/statements/2008/jan/31/john-mccain/pretty-much-yes-but-its-not-special/
John McCain	1	Mitt Romney says the next president doesn't need foreign policy experience.	Romney never said those words, but came close	/truth-o-meter/statements/2008/jan/02/john-mccain/romney-never-said-those-words-but-came-close/
John McCain	1	The failings in our civil service are encouraged by a system that makes it very difficult to fire someone even for gross misconduct.	You can fire federal workers, but it's tough	/truth-o-meter/statements/2007/sep/01/john-mccain/you-can-fire-federal-workers-but-its-tough/
John McCain	1	In state after state, polls make clear that the American public understands the Kelo ruling is a disaster.	The ruling was unpopular, but some polls unreliable 	/truth-o-meter/statements/2007/aug/30/john-mccain/the-ruling-was-unpopular-but-some-polls-unreliable/
John McCain	2	The border security plan of Sens. McCain and Kyl called for 3,000 additional troops to keep us safe. President Obama says he'll send 524.	Obama wants to add more than that, but not as much as McCain	/truth-o-meter/statements/2010/aug/11/john-mccain/john-mccain-said-he-would-add-3000-troops-border-w/
John McCain	2	We are within the margin of error.	Updated: McCain is right about 5 of 11 polls	/truth-o-meter/statements/2008/oct/30/john-mccain/updated-mccain-is-right-about-5-of-11-polls/
John McCain	2	He voted twice for a budget resolution that increases the taxes on individuals making $42,000 a year.	McCain's aim still off on tax votes	/truth-o-meter/statements/2008/oct/15/john-mccain/mccains-aim-still-off-on-tax-votes/
John McCain	2	The Democrats in the Senate and some members of Congress defended what Fannie and Freddie were doing. They resisted any change.	There's plenty of bipartisan blame for crisis	/truth-o-meter/statements/2008/oct/13/john-mccain/theres-plenty-of-bipartisan-blame-for-crisis/
John McCain	2	I want to give every American a $5,000 refundable tax credit.	$5,000 for couples, but half that for "every American"	/truth-o-meter/statements/2008/oct/09/john-mccain/5000-for-couples-but-half-that-for-every-american/
John McCain	2	John McCain fought to rein in Fannie and Freddie...but Democrats blocked the reforms.	Fannie, Freddie and John, at odds in 2006	/truth-o-meter/statements/2008/sep/30/john-mccain/fannie-freddie-and-john-at-odds-in-2006/
John McCain	2	I will keep taxes low and cut them where I can. My opponent will raise them.	Obama cuts taxes for some, though	/truth-o-meter/statements/2008/sep/04/john-mccain/obama-cuts-taxes-for-some-though/
John McCain	2	Senator Obama thinks we can achieve energy independence without more drilling and without more nuclear power.	Obama not keen on drilling; but not against nuclear power	/truth-o-meter/statements/2008/sep/04/john-mccain/obama-not-keen-on-drilling-but-not-against-nuclear/
John McCain	2	First, he (Obama) opposed the surge. Then he confidently predicted that it would fail. Then he tried to prevent funding for the troops who carried out the surge.	Obama tried to defund troops? Not exactly	/truth-o-meter/statements/2008/aug/12/john-mccain/obama-tried-to-defund-troops-not-exactly/
John McCain	2	We now have a pro-American president in France, which shows if you live long enough, anything can happen in this world.	You didn't actually have to live that long	/truth-o-meter/statements/2008/jul/23/john-mccain/you-didnt-actually-have-to-live-that-long/
John McCain	2	Barack Obama said he would debate 'anywhere, anytime' but has rejected joint town hall meetings.	Obama seems to have change of heart	/truth-o-meter/statements/2008/jul/15/john-mccain/obama-seems-to-have-change-of-heart/
John McCain	2	Throughout his time in elected office, Barack Obama has taken multiple positions on banning handguns and the D.C. handgun ban.	Obama consistently on the fence	/truth-o-meter/statements/2008/jul/08/john-mccain/obama-consistently-on-the-fence/
John McCain	2	We spend a staggering amount of money on health care  over $2-trillion and almost twice as much as any other country per person.	First in health spending, but not far ahead	/truth-o-meter/statements/2008/may/08/john-mccain/first-in-health-spending-but-not-far-ahead/
John McCain	2	(Romney's) record was that he raised taxes by $730-million.	One man's fees are another's taxes	/truth-o-meter/statements/2008/feb/01/john-mccain/one-mans-fees-are-anothers-taxes/
John McCain	2	Congress just passed another huge, pork-filled spending bill. The Democrats allowed less than a day to read all 3,400 pages and stuffed it with nearly 10,000 earmarks costing about $10-billion dollars.	More in the $8-billion range	/truth-o-meter/statements/2008/jan/16/john-mccain/more-in-the-8-billion-range/
John McCain	2	Our tax code is so complicated it extracts $140 billion in extra tax preparation costs every year - one thousand dollars for every American family.	The high cost of paying taxes	/truth-o-meter/statements/2007/nov/05/john-mccain/the-high-cost-of-paying-taxes/
John McCain	2	Earmarked dollars have doubled just since 2000, and more than tripled in the last 10 years.	Pork data is past its expiration date	/truth-o-meter/statements/2007/oct/12/john-mccain/pork-data-is-past-its-expiration-date/
John McCain	2	A lot of people don't know that 50,000 Americans now make their living off eBay.	Going, going ... probably wrong.	/truth-o-meter/statements/2007/oct/09/john-mccain/going-going--probably-wrong/
John McCain	3	Of all the illegals in America, more than half come through Arizona.	How did they get here?	/truth-o-meter/statements/2010/jul/23/john-mccain/mccain-campaign-ad-claims-more-half-illegal-immigr/
